182
13/24,1/12
11/24,1/12
3/8,1/12
7/24,1/12
5/24,1/12
1/8,1/12
1/24,1/12
13/24,1/6
11/24,1/6
13/24,1/4
11/24,1/4
13/24,1/3
11/24,1/3
13/24,5/12
11/24,5/12
13/24,1/2
11/24,1/2
13/24,7/12
11/24,7/12
13/24,2/3
11/24,2/3
13/24,3/4
11/24,3/4
13/24,5/6
11/24,5/6
13/24,11/12
11/24,11/12
3/8,1/6
7/24,1/6
5/24,1/6
1/8,1/6
1/24,1/6
3/8,1/4
3/8,1/3
3/8,5/12
3/8,1/2
3/8,7/12
3/8,2/3
3/8,3/4
3/8,5/6
3/8,11/12
7/24,1/4
5/24,1/4
1/8,1/4
1/24,1/4
7/24,1/3
7/24,5/12
7/24,1/2
7/24,7/12
7/24,2/3
7/24,3/4
7/24,5/6
7/24,11/12
5/24,1/3
1/8,1/3
1/24,1/3
5/24,5/12
5/24,1/2
5/24,7/12
5/24,2/3
5/24,3/4
5/24,5/6
5/24,11/12
1/8,5/12
1/24,5/12
1/8,1/2
1/8,7/12
1/8,2/3
1/8,3/4
1/8,5/6
1/8,11/12
1/24,1/2
1/24,7/12
1/24,2/3
1/24,3/4
1/24,5/6
1/24,11/12
5/8,1/12
17/24,1/12
19/24,1/12
7/8,1/12
23/24,1/12
5/8,1/6
5/8,1/4
5/8,1/3
5/8,5/12
5/8,1/2
5/8,7/12
5/8,2/3
5/8,3/4
5/8,5/6
5/8,11/12
17/24,1/6
19/24,1/6
7/8,1/6
23/24,1/6
17/24,1/4
17/24,1/3
17/24,5/12
17/24,1/2
17/24,7/12
17/24,2/3
17/24,3/4
17/24,5/6
17/24,11/12
19/24,1/4
7/8,1/4
23/24,1/4
19/24,1/3
19/24,5/12
19/24,1/2
19/24,7/12
19/24,2/3
19/24,3/4
19/24,5/6
19/24,11/12
7/8,1/3
23/24,1/3
7/8,5/12
7/8,1/2
7/8,7/12
7/8,2/3
7/8,3/4
7/8,5/6
7/8,11/12
23/24,5/12
23/24,1/2
23/24,7/12
