196
7/13,1/13
6/13,1/13
5/13,1/13
4/13,1/13
3/13,1/13
2/13,1/13
1/13,1/13
7/13,2/13
6/13,2/13
7/13,3/13
6/13,3/13
7/13,4/13
6/13,4/13
7/13,5/13
6/13,5/13
7/13,6/13
6/13,6/13
7/13,7/13
6/13,7/13
7/13,8/13
6/13,8/13
7/13,9/13
6/13,9/13
7/13,10/13
6/13,10/13
7/13,11/13
6/13,11/13
7/13,12/13
6/13,12/13
5/13,2/13
4/13,2/13
3/13,2/13
2/13,2/13
1/13,2/13
5/13,3/13
5/13,4/13
5/13,5/13
5/13,6/13
5/13,7/13
5/13,8/13
5/13,9/13
5/13,10/13
5/13,11/13
5/13,12/13
4/13,3/13
3/13,3/13
2/13,3/13
1/13,3/13
4/13,4/13
4/13,5/13
4/13,6/13
4/13,7/13
4/13,8/13
4/13,9/13
4/13,10/13
4/13,11/13
4/13,12/13
3/13,4/13
2/13,4/13
1/13,4/13
3/13,5/13
3/13,6/13
3/13,7/13
3/13,8/13
3/13,9/13
3/13,10/13
3/13,11/13
3/13,12/13
2/13,5/13
1/13,5/13
2/13,6/13
2/13,7/13
2/13,8/13
2/13,9/13
2/13,10/13
2/13,11/13
2/13,12/13
1/13,6/13
1/13,7/13
1/13,8/13
1/13,9/13
1/13,10/13
1/13,11/13
1/13,12/13
8/13,1/13
9/13,1/13
10/13,1/13
11/13,1/13
12/13,1/13
8/13,2/13
8/13,3/13
8/13,4/13
8/13,5/13
8/13,6/13
8/13,7/13
8/13,8/13
8/13,9/13
8/13,10/13
8/13,11/13
8/13,12/13
9/13,2/13
10/13,2/13
11/13,2/13
12/13,2/13
9/13,3/13
9/13,4/13
9/13,5/13
9/13,6/13
9/13,7/13
9/13,8/13
9/13,9/13
9/13,10/13
9/13,11/13
9/13,12/13
10/13,3/13
11/13,3/13
12/13,3/13
10/13,4/13
10/13,5/13
10/13,6/13
10/13,7/13
10/13,8/13
10/13,9/13
10/13,10/13
10/13,11/13
10/13,12/13
11/13,4/13
12/13,4/13
11/13,5/13
11/13,6/13
11/13,7/13
11/13,8/13
11/13,9/13
11/13,10/13
11/13,11/13
11/13,12/13
12/13,5/13
12/13,6/13
12/13,7/13
12/13,8/13
12/13,9/13
12/13,10/13
12/13,11/13
12/13,12/13
6/13,0
7/13,0
5/13,0
4/13,0
3/13,0
2/13,0
1/13,0
0,1/13
7/13,1
6/13,1
0,2/13
5/13,1
0,3/13
4/13,1
0,4/13
3/13,1
0,5/13
2/13,1
0,6/13
1/13,1
0,7/13
0,8/13
0,9/13
0,10/13
0,11/13
0,12/13
8/13,0
9/13,0
10/13,0
11/13,0
12/13,0
1,1/13
8/13,1
1,2/13
9/13,1
1,3/13
10/13,1
1,4/13
11/13,1
